patch_id,center_x,center_y,width,amplitude,start_step,duration_steps,recovery_steps,scenario_family,seed
1,0.4977466577495162,0.15839995668924264,0.10520412002551888,0.854128499728589,5,3,2,moving_center,9201
2,0.7058103953690072,0.0893839535998763,0.07461773273889429,0.887906482723781,3,4,2,moving_center,9201
3,0.5386617860724809,0.23220990426825694,0.0721803559861133,0.6184059554711168,4,4,2,moving_center,9201
1,0.5168240165469514,0.45089714875320763,0.11284689569097248,0.8864762426860073,3,5,2,moving_center,9202
2,0.8906134911533026,0.8863383023904917,0.0716696274465711,0.8839682344708162,4,4,2,moving_center,9202
1,0.7639304411983011,0.11416943821113049,0.13747572801795022,0.7004860872104992,4,4,2,moving_center,9203
1,0.44732969566206426,0.0967503803760212,0.09469294610225129,0.5575924324705006,2,3,2,dual_center,9201
2,0.17285317133625522,0.10035760632904642,0.11043509698218523,0.9573272626429725,2,4,2,dual_center,9201
3,0.4579598413085785,0.311756421144881,0.11656102114160394,0.730838511172535,5,3,2,dual_center,9201
1,0.5939664654803098,0.6344013756080381,0.12503221935980013,0.7129199911056774,2,4,2,dual_center,9202
2,0.3272683802392836,0.22206846736921948,0.13196712864125315,0.7645651978673197,5,4,2,dual_center,9202
1,0.7663312686364799,0.9043519357354923,0.10770363040436383,0.5865879310156019,5,3,2,dual_center,9203
1,0.9079788613385377,0.3875204500088318,0.06548963293037055,0.8035765943831794,3,5,2,anisotropic_band,9201
2,0.6701989936500159,0.7785514896820881,0.092012652157856,0.6876684502340049,5,5,2,anisotropic_band,9201
3,0.859977074235247,0.9158421466536835,0.13567979797354418,0.6938161602457258,5,4,2,anisotropic_band,9201
1,0.5253346433438453,0.7155197490193264,0.1063261605521022,0.7788183942604219,3,3,2,anisotropic_band,9202
1,0.25357340320947447,0.41335668663896175,0.09427894275668074,0.8445675385023181,3,3,2,anisotropic_band,9203
1,0.09104742715848112,0.4510210592220675,0.11011185225947402,0.9176560312262498,4,5,2,moving_center,9204
2,0.7053200011508605,0.1628603298062352,0.07732662963103323,0.9145360438555734,5,3,2,moving_center,9204
3,0.8118557852936865,0.6707767924478216,0.07801212861394143,0.6777350853376005,5,4,2,moving_center,9204
1,0.8742131031273253,0.2981987916012554,0.07432494290684775,0.6961821158242446,2,3,2,moving_center,9205
2,0.08405511780072905,0.6678800083777393,0.06471966461067626,0.7116592835618696,4,4,2,moving_center,9205
1,0.3231975688503335,0.8302208510569468,0.0692368883803076,0.5615814544968809,2,5,2,moving_center,9206
1,0.49251315585460037,0.43618467251644266,0.12190573479238898,0.7147880370097839,2,3,2,dual_center,9204
1,0.341936929766782,0.17710645610378967,0.11427952232779412,0.7114826044552967,5,3,2,dual_center,9205
1,0.8834839595116927,0.5072937802875148,0.09006220147692862,0.8562551443652651,5,3,2,dual_center,9206
1,0.7059563959603158,0.570301531338032,0.12249808774534311,0.8976031028129432,3,4,2,anisotropic_band,9204
2,0.22651852211371548,0.476430884363667,0.11070297036251184,0.801253425676095,3,3,2,anisotropic_band,9204
3,0.686941353255565,0.5143836631292344,0.07084153328076856,0.7052927765037176,5,5,2,anisotropic_band,9204
1,0.6013268710947604,0.2986064436604469,0.07913853525882479,0.8183684653449979,3,4,2,anisotropic_band,9205
1,0.20482404060071752,0.10597767536260574,0.12588726110278026,0.8677233319249118,3,5,2,anisotropic_band,9206
2,0.22654860524840376,0.8555016490090921,0.1257433563567718,0.9217216811842842,3,3,2,anisotropic_band,9206
3,0.3601804496683433,0.14943763689127498,0.08694802526108486,0.6806989934142204,3,4,2,anisotropic_band,9206
1,0.4585801477127078,0.8534629823207316,0.10225279781357682,0.9501009245214891,4,4,2,moving_center,9207
1,0.6145137702207379,0.5523187629528299,0.06488242332210926,0.7048850290153019,3,4,2,moving_center,9208
