sensor_id,u,v,key,lon,lat,static_susceptibility,selection_stratum,selection_seed,sensor_group
S001,8662418553,8662418527,0,113.89965912586614,22.5224865226517,0.6862958916593798,cell_0_0_low,7401,0
S002,2411114371,2411114345,0,113.92571084999818,22.512945850023765,0.9103568424310496,cell_0_0_medium,7401,1
S003,2540889607,5806331809,0,113.89108144999496,22.50465020000098,0.9617025414191273,cell_0_0_high,7401,2
S004,12064393957,12064492182,0,113.9381732352364,22.526267977095184,0.4900931220059,cell_1_0_low,7401,0
S005,6874822428,7556620927,0,113.94143074431278,22.520265120039806,0.9325170732980194,cell_1_0_medium,7401,1
S006,2542607122,2542607151,0,113.94104169998771,22.50359540008254,0.9867174176486163,cell_1_0_high,7401,2
S007,3320400585,12135933572,0,114.01717018539324,22.526267697959366,0.5198634367965369,cell_2_0_low,7401,0
S008,13270522736,13418255157,0,114.02888669994658,22.524441250015535,0.8556650588856219,cell_2_0_medium,7401,1
S009,5297971795,5297971796,0,113.98836934996692,22.525095650068277,0.9452474811695731,cell_2_0_high,7401,2
S010,2399021795,2399021792,0,114.03138310000054,22.521921950000497,0.7860142421436159,cell_3_0_low,7401,0
S011,598723852,598723906,0,114.04361775027499,22.510642851728406,0.8917927390366357,cell_3_0_medium,7401,1
S012,8869467017,12619490663,0,114.04406244372123,22.520176100412325,0.9567525090742598,cell_3_0_high,7401,2
S013,2433356731,2433356700,0,113.92333893220862,22.529351225106716,0.6883956502261589,cell_0_1_low,7401,0
S014,5131284476,5131284502,0,113.92102764996692,22.531274050194327,0.8585481859358993,cell_0_1_medium,7401,1
S015,4889417416,8656316649,0,113.89647299999851,22.540612100009096,0.9836412937380584,cell_0_1_high,7401,2
S016,7782982570,9629031566,0,113.93804600001656,22.549616250003883,0.5487271718385645,cell_1_1_low,7401,0
S017,2427789275,2427789268,0,113.93513734994386,22.54593285037441,0.8154252969288397,cell_1_1_medium,7401,1
S018,2408476542,2408476466,0,113.94402234998329,22.54187985007107,0.9766241357528817,cell_1_1_high,7401,2
S019,2042459422,7983583693,0,114.02980716226631,22.55885461969239,0.520333051689336,cell_2_1_low,7401,0
S020,2528808171,2528808121,0,114.02299761825644,22.55930496679376,0.7327609544048374,cell_2_1_medium,7401,1
S021,9907679283,9907679284,0,114.0012825000021,22.550435200000262,0.9091399694047501,cell_2_1_high,7401,2
S022,8298792547,7973099505,0,114.03697429809858,22.541605753623635,0.525977520722611,cell_3_1_low,7401,0
S023,5269997978,7979924998,0,114.04499086995001,22.559529524059304,0.8663407487627454,cell_3_1_medium,7401,1
S024,7967831814,7979925057,0,114.04341834763908,22.557011582766116,0.9415792157646218,cell_3_1_high,7401,2
S025,9044994640,13284416922,0,113.90534199725094,22.560701589655874,0.847153673647916,cell_0_2_low,7401,0
S026,9657438713,9045118498,0,113.91940685220119,22.564553351199308,0.8758548089196676,cell_0_2_medium,7401,1
S027,11494774941,13390357235,0,113.88439764984521,22.574257950059167,0.9307714508414181,cell_0_2_high,7401,2
S028,2550490876,2959091563,0,113.96790445770218,22.568431952024525,0.7694486454175699,cell_1_2_low,7401,0
S029,5567121951,8588501232,0,113.9653169499974,22.566995950000504,0.8801025462006712,cell_1_2_medium,7401,1
S030,6240866810,1981097814,0,113.93647114594356,22.571345070090548,0.9287589324607329,cell_1_2_high,7401,2
S031,279961533,3810814606,0,114.00962494545568,22.587816951688875,0.16819581458585042,cell_2_2_low,7401,0
S032,2535937086,2535936968,0,114.02678120911114,22.56944429509937,0.6237375917960504,cell_2_2_medium,7401,1
S033,2535930025,3000208860,0,114.02395059998908,22.561079000019884,0.8691074376118599,cell_2_2_high,7401,2
S034,2889695451,11314850562,0,114.0623232000039,22.57644295001842,0.5069613137701029,cell_3_2_low,7401,0
S035,11314850577,2889695411,0,114.0640060000044,22.577658850005307,0.7344254536321332,cell_3_2_medium,7401,1
S036,9503819556,9503819554,0,114.06924100000225,22.570775150000262,0.9249204936822818,cell_3_2_high,7401,2
S037,13105222265,13105222261,0,113.88755939943141,22.603385850128983,0.5647792390104799,cell_0_3_low,7401,0
S038,11196049526,11196049608,0,113.88741790012294,22.59028100003667,0.8361492516535847,cell_0_3_medium,7401,1
S039,11135517736,2505982150,0,113.88442441671259,22.601945942952046,0.9206434253297661,cell_0_3_high,7401,2
S040,13134355870,9045147431,0,113.97660018648405,22.59557128101879,0.4648444924991576,cell_1_3_low,7401,0
S041,2562508036,2562510143,0,113.9417715999066,22.607629000105245,0.5429181206405886,cell_1_3_medium,7401,1
S042,8589396398,8763065171,0,113.96084364888543,22.5965768020091,0.9179843010115963,cell_1_3_high,7401,2
S043,8530907607,13483651224,0,113.9958277306782,22.596456861279947,0.5199444317035444,cell_2_3_low,7401,0
S044,8601800044,8553157203,0,113.98646363142743,22.594035786967588,0.8452804166448052,cell_2_3_medium,7401,1
S045,5240883402,8553157169,0,113.9860356500322,22.591203500003765,0.9212993638847863,cell_2_3_high,7401,2
S046,6796979286,6796979287,0,114.0726041319862,22.610431805721607,0.6723897358115964,cell_3_3_low,7401,0
S047,11135826947,11135826973,0,114.03986537030552,22.601359233662105,0.8055897945948386,cell_3_3_medium,7401,1
S048,13378682403,8913127654,0,114.06075164995565,22.613610750039392,0.8333036094413621,cell_3_3_high,7401,2
