scenario_family,seed,method,truth_exposure,distance_m,max_truth_risk,p95_truth_risk,high_risk_length_ratio,route_overlap_with_shortest,route_change_from_baseline,stale_water_usage,bad_source_exposure,mean_water_coverage_on_route,computation_ms
anisotropic_band,8101,multisource_naive,0.4418504513413335,11072.43691417403,0.6379045280657845,0.6012760779352162,0.0893481862179803,0.5059718518529757,0.0703125,0.002923144487738499,0.5653609067629297,0.08177618186744633,133.22297499053093
anisotropic_band,8101,multisource_uncertainty,0.4427214999114583,11054.027066185572,0.6439790613487019,0.6032700504948404,0.094029113096748,0.5219230534837344,0.046875,0.002923144487738499,0.5609591674457339,0.0860800555207915,133.00712967702566
anisotropic_band,8101,rain_risk,0.43714285919852036,11152.806935286259,0.6361750351882021,0.5987466567401497,0.08775848677522535,0.4075541063995987,0.0,0.0029245014232861556,0.573396094064147,0.07294822314724525,132.40913749177707
anisotropic_band,8101,shortest,0.4571460863875095,10950.795041533209,0.6425078527748719,0.6119204803098413,0.10773505586092023,1.0,0.0,0.0022740472985619655,0.5615324143768373,0.0812524049551499,131.60123125999235
anisotropic_band,8101,trusted_source_specific_tau,0.44274921826838765,11059.140219340865,0.644209009646323,0.603817739907993,0.09239654443659037,0.510157428314859,0.1015625,0.002923144487738499,0.559713661908788,0.08796133521049274,132.94983045216213
anisotropic_band,8101,trusted_universal_tau,0.44278512930636127,11061.97549946748,0.6443623085114036,0.6041136828231292,0.09238402481486141,0.5056753171419549,0.0703125,0.002923144487738499,0.5589921185363317,0.08911404172126718,133.05586560272786
anisotropic_band,8102,multisource_naive,0.4419428071258984,11072.439015091844,0.6373059350049529,0.602074578468882,0.08851387210895025,0.5025540692371219,0.109375,0.004413923283084808,0.5666822441020523,0.07993706083712104,127.6210343803541
anisotropic_band,8102,multisource_uncertainty,0.4432145901529995,11054.374516094662,0.6435574334349572,0.6033377514762858,0.09330424457378474,0.5330173731668417,0.0546875,0.004416871518019949,0.5601210847771457,0.08709857805063564,127.69314375418617
anisotropic_band,8102,rain_risk,0.4391103248123077,11113.281785466466,0.6357933662082776,0.6019058460899808,0.08679037298892348,0.43766351103162693,0.0,0.004411858032522384,0.5731308426767268,0.07316163854155756,128.75118125521112
anisotropic_band,8102,shortest,0.45762402330491864,10950.795041533209,0.642718223992632,0.6133397377718309,0.10716378338446812,1.0,0.0,0.003436754174285707,0.5613976908470888,0.0812618812508809,126.59256877668668
anisotropic_band,8102,trusted_source_specific_tau,0.44336705957587574,11054.372975123431,0.6438801363595443,0.6040694046390973,0.09204786862229739,0.5241432421348899,0.09375,0.004416874035987588,0.5594938386391287,0.08795568995391473,127.5955812589018
anisotropic_band,8102,trusted_universal_tau,0.44346660126344317,11056.726627722483,0.643938780852611,0.6043711515947414,0.0920416088114329,0.5174272749056897,0.0625,0.004416874035987588,0.5586529655893598,0.08938126313602068,127.52199063288572
anisotropic_band,8103,multisource_naive,0.44120786836672843,11074.220634393454,0.6366388299665631,0.6008609171417668,0.08757755466565925,0.4994116755168532,0.109375,0.004441893774522042,0.566865668555704,0.07983104953170067,128.01928357748693
anisotropic_band,8103,multisource_uncertainty,0.4421283083711771,11064.256371098738,0.6421296975917945,0.6015140115142759,0.09136829541484695,0.5164770876469571,0.0703125,0.004441893774522042,0.5602170479103141,0.08724071217349094,128.00495545616286
anisotropic_band,8103,rain_risk,0.438740503508729,11105.045682372469,0.6369171037527402,0.6010251410089984,0.086070569503278,0.44829492671738885,0.0,0.0044436104505861385,0.5730138237108396,0.07356336612269868,129.07869374612346
anisotropic_band,8103,shortest,0.4571625684223341,10950.795041533209,0.6416154352759584,0.611038560763422,0.10612124824341213,1.0,0.0,0.0035073025408426163,0.5622388662196958,0.08036233815828163,126.7972500063479
anisotropic_band,8103,trusted_source_specific_tau,0.4423660603150672,11057.254656349565,0.6427389713730166,0.6021357901030822,0.09048914897930219,0.5142989172856153,0.125,0.004441893774522042,0.5609384313139189,0.08605127222157678,127.90777967438771
anisotropic_band,8103,trusted_universal_tau,0.4423778535910364,11061.039486931735,0.6429440231958689,0.6024810863438353,0.09047036954670874,0.5101502287847031,0.0859375,0.004441893774522042,0.560102871037922,0.0873635989906932,128.09457107869093
anisotropic_band,8104,multisource_naive,0.44078494539440954,11074.0000581862,0.6362446615597631,0.5999896933802854,0.0886844680303697,0.49475888083741637,0.0703125,0.003147252818502444,0.5661486402492141,0.08014564348667454,128.35941404409823
anisotropic_band,8104,multisource_uncertainty,0.442157267058767,11063.540677802863,0.6409653767882422,0.6008806165984009,0.09201596482233798,0.5304475733769921,0.0703125,0.003145505472793271,0.5586065262334591,0.08911411079885066,128.20595077391772
anisotropic_band,8104,rain_risk,0.43783238882051795,11120.389538052088,0.6360207493091791,0.6001186422765958,0.08170467082054815,0.447866745582049,0.0,0.003147252818502444,0.5702826705393543,0.07613077531196971,128.60248124343343
anisotropic_band,8104,shortest,0.45669936404748673,10950.795041533209,0.6422794407122453,0.6115894369633571,0.10714956800869209,1.0,0.0,0.0023041417743250884,0.5606488157978741,0.08210112928331614,126.85623750439845
anisotropic_band,8104,trusted_source_specific_tau,0.44245942051840587,11055.895017663312,0.6430339911489183,0.6023258875949045,0.09181039186646883,0.5254819230311764,0.15625,0.003145505472793271,0.558736201604717,0.0886345239077556,128.15412810141424
anisotropic_band,8104,trusted_universal_tau,0.44241311676169925,11062.689561977015,0.6430510092481548,0.6027196525090928,0.09048629694766777,0.520206752190325,0.1015625,0.003145505472793271,0.5574299163645913,0.09043322966903458,128.27650622875808
anisotropic_band,8105,multisource_naive,0.4417938376399215,11069.189010083926,0.6371958470103753,0.5998939935949245,0.08917582083703257,0.5206859716952849,0.0546875,0.005112609120914044,0.564995840163715,0.0821080289886006,131.1798297083442
