scenario_family,method,n_seeds,mean_truth_exposure,seed_sd_truth_exposure,mean_distance_m,mean_high_risk_length_ratio,mean_stale_water_usage,mean_bad_source_exposure,mean_computation_ms
anisotropic_band,multisource_naive,12,0.4409755891979978,0.0006730690688316124,11075.7793963836,0.08821071011390819,0.0036751480203168836,0.5670244292037826,130.5410600275536
anisotropic_band,multisource_uncertainty,12,0.44247593997676726,0.0005758372074438952,11054.989657694941,0.09273063493345679,0.00371120446631951,0.5603386935587126,130.50013008031178
anisotropic_band,perfect_water_reference,12,0.43881776783758125,0.00037824185634844634,11107.547681337155,0.08658445330619376,0.0,0.0,37.14028489594057
anisotropic_band,rain_risk,12,0.43820349124001684,0.0009126461857580133,11118.402597378401,0.08614279460089469,0.0036745889815158485,0.5726635337271747,130.61616198441092
anisotropic_band,shortest,12,0.4570249988280033,0.0004896785071475454,10950.795041533209,0.106794906696168,0.002864200650206094,0.5614364283846519,128.59623647940074
anisotropic_band,trusted_source_specific_tau,12,0.4425692126366336,0.0005245938950412399,11056.75605547893,0.09158358658245609,0.0037112021173116715,0.5594148514643961,130.4109823571101
anisotropic_band,trusted_universal_tau,12,0.4426007400102963,0.0005346028458796909,11059.747331755481,0.09135778792106596,0.0037299333191079804,0.5586890289967092,130.42811490671133
dual_center,multisource_naive,12,0.445012138438411,0.0006564529933345662,11186.20699707015,0.08637214958013872,0.00037498766376197384,0.5710888484428102,127.9817310545089
dual_center,multisource_uncertainty,12,0.445605123933722,0.0005411897363745522,11178.430016224307,0.08766908763627156,0.00041709413592751606,0.5696023387535832,128.08731985736208
dual_center,perfect_water_reference,12,0.44329178307617506,0.00033117131664300636,11252.62511772481,0.08637214958013872,0.0,0.0,34.762924998479626
dual_center,rain_risk,12,0.44307072474138415,0.000338686810017262,11253.017102835329,0.08637143597379543,0.00037923649743077406,0.5727128461810972,127.57832864917873
dual_center,shortest,12,0.48291377128377083,0.000240391514494875,10950.795041533209,0.14864334252693498,0.001305224244062618,0.561674016221642,128.35925991688177
dual_center,trusted_source_specific_tau,12,0.4464247944490533,0.0006733280256887101,11178.658014954031,0.09074040863066272,0.0004174942327593856,0.5677853233240427,128.1793776693879
dual_center,trusted_universal_tau,12,0.4466360152136579,0.0006237820234782752,11186.927688937134,0.09128761739237913,0.00044028143950796506,0.566420845350006,128.25345221313
moving_center,multisource_naive,12,0.38557015857812565,0.0005011780130461917,11037.20923865115,0.0,0.0011023783454786882,0.5674478217296415,130.91384003829867
moving_center,multisource_uncertainty,12,0.3875061020277453,0.0003797434089426361,11000.856929810716,0.0,0.0011285924230128612,0.5638615511661039,130.95059101275788
moving_center,perfect_water_reference,12,0.3798377390370602,0.002094578248580561,11160.812996888975,0.0,0.0,0.0,35.51547968648568
moving_center,rain_risk,12,0.3794892097524782,0.002013631045019747,11169.581019427626,0.0,0.001101788116032599,0.5728790590174574,130.51461041080378
moving_center,shortest,12,0.39857829802533923,0.0003388350644292173,10950.795041533209,0.00013117278521364108,0.0015159858318960148,0.5616874081257547,130.23535158208688
moving_center,trusted_source_specific_tau,12,0.38753861424756536,0.0003650063508068555,11001.981544038252,0.0,0.0011285924230128612,0.5632174215461571,130.95366217521587
moving_center,trusted_universal_tau,12,0.3874984633528786,0.00039181026295925813,11004.456819543948,0.0,0.0011426772574276928,0.5628654338409927,131.0051578097955
