scenario_family,comparison,mean_difference,ci_low,ci_high,bootstrap_unit,iterations,bootstrap_seed
moving_center,naive_async-minus-rain,0.006080948825647424,0.00488958283226228,0.00711686353977075,seed,2000,8301
moving_center,perfect_water-reference_minus-rain,0.00034852928458201554,-1.2541510554436863e-05,0.0007257638172144485,seed,2000,8301
moving_center,source_specific-minus-rain,0.008049404495087129,0.0068705987230520465,0.009080424533928983,seed,2000,8301
moving_center,source_specific-minus-universal,4.0150894686734793e-05,2.809410285372835e-06,7.569374137530564e-05,seed,2000,8301
moving_center,uncertainty-minus-naive,0.0019359434496197165,0.0018221257632269209,0.002036244596248338,seed,2000,8301
moving_center,universal_tau-minus-uncertainty,-7.638674866745446e-06,-6.390140359065257e-05,4.587225995207029e-05,seed,2000,8301
dual_center,naive_async-minus-rain,0.0019414136970268558,0.0016134034996659933,0.0022005133413145524,seed,2000,8301
dual_center,perfect_water-reference_minus-rain,0.0002210583347908903,0.00017427938340601907,0.00026737745818328435,seed,2000,8301
dual_center,source_specific-minus-rain,0.0033540697076691237,0.0030957249064395374,0.003589503408505793,seed,2000,8301
dual_center,source_specific-minus-universal,-0.0002112207646046508,-0.00034600551985894217,-0.0001153454650478911,seed,2000,8301
dual_center,uncertainty-minus-naive,0.000592985495310977,0.0002565886288581531,0.0010239916701619168,seed,2000,8301
dual_center,universal_tau-minus-uncertainty,0.0010308912799359415,0.0008327577290929802,0.0012163910531396616,seed,2000,8301
anisotropic_band,naive_async-minus-rain,0.002772097957980881,0.002342340092036519,0.003263687819282081,seed,2000,8301
anisotropic_band,perfect_water-reference_minus-rain,0.0006142765975643653,0.0002180824575816596,0.0010824628788533124,seed,2000,8301
anisotropic_band,source_specific-minus-rain,0.004365721396616733,0.004024289665679898,0.004763935177098143,seed,2000,8301
anisotropic_band,source_specific-minus-universal,-3.152737366267829e-05,-5.6174944644262154e-05,-4.887638985214694e-06,seed,2000,8301
anisotropic_band,uncertainty-minus-naive,0.0015003507787694954,0.001191378410654015,0.0018202036828788844,seed,2000,8301
anisotropic_band,universal_tau-minus-uncertainty,0.00012480003352903501,6.167414525874091e-05,0.0001939742557710867,seed,2000,8301
all_families,naive_async-minus-rain,0.00359815349355172,0.0031942699095863403,0.003983803328550972,seed,2000,8301
all_families,perfect_water-reference_minus-rain,0.000394621405645757,0.00018145223406351824,0.0006383370855958422,seed,2000,8301
all_families,source_specific-minus-rain,0.005256398533124328,0.0048052756275183675,0.0056464043781470595,seed,2000,8301
all_families,source_specific-minus-universal,-6.753241452686477e-05,-0.00010772627220928095,-3.3105206291152396e-05,seed,2000,8301
all_families,uncertainty-minus-naive,0.0013430932412333964,0.0011895068429067074,0.001492905080030291,seed,2000,8301
all_families,universal_tau-minus-uncertainty,0.00038268421286607703,0.00031482048624585505,0.0004557420991731439,seed,2000,8301
