scenario_family,seed,timestamp,min,mean,p95,max,data_type,unit
moving_center,8101,2023-09-07 12:00:00+08:00,0.0,0.0,0.0,0.0,SIMULATED_TRUTH,dimensionless_index_0_1
moving_center,8101,2023-09-07 12:05:00+08:00,0.0,0.0012029209174215794,0.0018862357828766108,0.00610612565651536,SIMULATED_TRUTH,dimensionless_index_0_1
moving_center,8101,2023-09-07 12:10:00+08:00,0.0,0.00234618759714067,0.0037027825601398945,0.011760160326957703,SIMULATED_TRUTH,dimensionless_index_0_1
moving_center,8101,2023-09-07 12:15:00+08:00,0.0,0.0034335784148424864,0.005461083725094795,0.01699557714164257,SIMULATED_TRUTH,dimensionless_index_0_1
moving_center,8101,2023-09-07 12:20:00+08:00,0.0,0.005098170135170221,0.011760550551116467,0.026289060711860657,SIMULATED_TRUTH,dimensionless_index_0_1
moving_center,8101,2023-09-07 12:25:00+08:00,0.0,0.006685053464025259,0.01726020686328411,0.03580928593873978,SIMULATED_TRUTH,dimensionless_index_0_1
moving_center,8101,2023-09-07 12:30:00+08:00,0.0,0.00819876417517662,0.022706037387251854,0.043954186141490936,SIMULATED_TRUTH,dimensionless_index_0_1
moving_center,8101,2023-09-07 12:35:00+08:00,0.0,0.011498651467263699,0.03458678722381592,0.058034323155879974,SIMULATED_TRUTH,dimensionless_index_0_1
moving_center,8101,2023-09-07 12:40:00+08:00,0.0,0.014650723896920681,0.04548892378807068,0.0741310566663742,SIMULATED_TRUTH,dimensionless_index_0_1
moving_center,8101,2023-09-07 12:45:00+08:00,0.0,0.01766289956867695,0.056556470692157745,0.08775664865970612,SIMULATED_TRUTH,dimensionless_index_0_1
moving_center,8101,2023-09-07 12:50:00+08:00,0.0,0.022880366072058678,0.06773383170366287,0.1053735762834549,SIMULATED_TRUTH,dimensionless_index_0_1
moving_center,8101,2023-09-07 12:55:00+08:00,0.0,0.027861008420586586,0.08144111931324005,0.1251697987318039,SIMULATED_TRUTH,dimensionless_index_0_1
moving_center,8101,2023-09-07 13:00:00+08:00,0.0,0.03261740878224373,0.09892917424440384,0.14740431308746338,SIMULATED_TRUTH,dimensionless_index_0_1
moving_center,8101,2023-09-07 13:05:00+08:00,0.0,0.03871536999940872,0.11297502368688583,0.1647227257490158,SIMULATED_TRUTH,dimensionless_index_0_1
moving_center,8101,2023-09-07 13:10:00+08:00,0.0,0.04452615603804588,0.13175757229328156,0.19228845834732056,SIMULATED_TRUTH,dimensionless_index_0_1
moving_center,8101,2023-09-07 13:15:00+08:00,0.0,0.05006581172347069,0.15690618753433228,0.21907608211040497,SIMULATED_TRUTH,dimensionless_index_0_1
moving_center,8101,2023-09-07 13:20:00+08:00,0.0,0.05513133853673935,0.17070406675338745,0.23107515275478363,SIMULATED_TRUTH,dimensionless_index_0_1
moving_center,8101,2023-09-07 13:25:00+08:00,0.0,0.05994649976491928,0.18548469245433807,0.2690171003341675,SIMULATED_TRUTH,dimensionless_index_0_1
moving_center,8101,2023-09-07 13:30:00+08:00,0.0,0.06452679634094238,0.20393872261047363,0.3059674799442291,SIMULATED_TRUTH,dimensionless_index_0_1
moving_center,8101,2023-09-07 13:35:00+08:00,0.0,0.06767407059669495,0.20828145742416382,0.3136437237262726,SIMULATED_TRUTH,dimensionless_index_0_1
moving_center,8101,2023-09-07 13:40:00+08:00,0.0,0.0706576332449913,0.22117891907691956,0.32018783688545227,SIMULATED_TRUTH,dimensionless_index_0_1
moving_center,8101,2023-09-07 13:45:00+08:00,0.0,0.07348888367414474,0.23970268666744232,0.3485237956047058,SIMULATED_TRUTH,dimensionless_index_0_1
moving_center,8101,2023-09-07 13:50:00+08:00,0.0,0.07594698667526245,0.23700465261936188,0.33102694153785706,SIMULATED_TRUTH,dimensionless_index_0_1
moving_center,8101,2023-09-07 13:55:00+08:00,0.0,0.07827956229448318,0.23268570005893707,0.3312757909297943,SIMULATED_TRUTH,dimensionless_index_0_1
moving_center,8101,2023-09-07 14:00:00+08:00,0.0,0.08049553632736206,0.228321835398674,0.3555215895175934,SIMULATED_TRUTH,dimensionless_index_0_1
moving_center,8101,2023-09-07 14:05:00+08:00,0.0,0.08259570598602295,0.22405031323432922,0.3383358418941498,SIMULATED_TRUTH,dimensionless_index_0_1
moving_center,8101,2023-09-07 14:10:00+08:00,0.0,0.0845971554517746,0.21974211931228638,0.337528258562088,SIMULATED_TRUTH,dimensionless_index_0_1
moving_center,8101,2023-09-07 14:15:00+08:00,0.0,0.08650648593902588,0.22274836897850037,0.35125529766082764,SIMULATED_TRUTH,dimensionless_index_0_1
moving_center,8101,2023-09-07 14:20:00+08:00,0.0,0.08694089949131012,0.22441834211349487,0.3347891569137573,SIMULATED_TRUTH,dimensionless_index_0_1
moving_center,8101,2023-09-07 14:25:00+08:00,0.0,0.08737138658761978,0.22418956458568573,0.3193998336791992,SIMULATED_TRUTH,dimensionless_index_0_1
