patch_id,center_x,center_y,width,amplitude,start_step,duration_steps,recovery_steps,scenario_family,seed
1,0.3612775332400762,0.38295055043363985,0.09842120132409121,0.7989371557785568,2,3,2,moving_center,9101
2,0.20312380906045285,0.8569513150852996,0.060924039991706314,0.5518968163592486,2,3,2,moving_center,9101
3,0.2942163444558971,0.8835557217029546,0.08921301349901067,0.9046716754776689,2,3,2,moving_center,9101
1,0.3734125755265541,0.2507061845226006,0.1351098425573139,0.6641499153746517,5,4,2,moving_center,9102
1,0.6008485042493232,0.3989730378743609,0.13393420735165718,0.5995093735240125,2,4,2,moving_center,9103
1,0.6286407821898631,0.7744444073914551,0.06769141344119768,0.6037618158855551,2,5,2,moving_center,9104
2,0.7921368128583444,0.6787891184710151,0.0701800712633351,0.9141134411313642,4,5,2,moving_center,9104
1,0.5738977146034715,0.6103014572733321,0.09943624297053119,0.9935352508100947,5,5,2,dual_center,9101
1,0.7046832956108392,0.9187977084963068,0.12013982254731988,0.7850853839187052,2,4,2,dual_center,9102
2,0.192763020825105,0.12485505770881022,0.13525739666638292,0.6088560085459781,4,3,2,dual_center,9102
3,0.7498776904195336,0.3086889515724665,0.08648558214053312,0.7908272134830865,2,5,2,dual_center,9102
1,0.8955819611883824,0.30161581499914203,0.13802405361598097,0.6854473464030113,2,4,2,dual_center,9103
2,0.11172122622924963,0.560691218550852,0.09369182711961202,0.5593355391420991,5,5,2,dual_center,9103
3,0.7100385235378709,0.6003129970880703,0.13508713853192666,0.7372694482448653,3,4,2,dual_center,9103
1,0.2367404635883844,0.7770732649422507,0.09514926148584976,0.7341383329403168,2,5,2,dual_center,9104
2,0.2771435248297951,0.3868411674557988,0.07150838465491598,0.9687571536462822,2,4,2,dual_center,9104
1,0.7835697497262017,0.20838125272446,0.11771582956698906,0.7883071462342119,5,5,2,anisotropic_band,9101
1,0.881370298191537,0.6120153338398563,0.12691478521936192,0.9279967635714388,5,5,2,anisotropic_band,9102
2,0.5188630877903145,0.768493528059088,0.12650848439368312,0.787311167741313,3,3,2,anisotropic_band,9102
1,0.8198709400489711,0.12000069456102413,0.09462491402478604,0.6704400641160398,3,4,2,anisotropic_band,9103
2,0.692154589484628,0.6457942083587564,0.08688483247069809,0.6658057873610204,2,5,2,anisotropic_band,9103
1,0.830499986144942,0.7159984586546304,0.07985892749223783,0.5867772894172126,4,3,2,anisotropic_band,9104
